"Feature"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"A"	"100"	"142.722222222222"	"6.14817045957576"	"10.4355493341554"	"16"	"0.0336041778479705"	"0.319950072810485"	"93"	"105"	"96"	"121"	"85"	"89"	"104"	"109"	"189"	"157"	"146"	"117"	"140"	"128"	"116"	"157"	"160"	"92"	"180"	"103"	"207"	"118"	"257"
"B"	"401.2"	"449.111111111111"	"16.1907380931198"	"30.7619883521589"	"35"	"0.490950696900354"	"0.913845879520937"	"379"	"408"	"403"	"456"	"360"	"277"	"364"	"389"	"582"	"458"	"488"	"382"	"414"	"331"	"343"	"529"	"481"	"300"	"513"	"387"	"587"	"433"	"826"
"C"	"77879.4"	"81485.7222222222"	"3050.82663552028"	"6157.06630591722"	"42"	"0.856964545751731"	"0.913845879520937"	"75877"	"77020"	"78164"	"88602"	"69734"	"65726"	"46563"	"79740"	"84308"	"88869"	"87923"	"85904"	"67383"	"52631"	"58885"	"87667"	"93979"	"57641"	"73724"	"77569"	"120148"	"78363"	"159720"
"D"	"9362.4"	"8993.83333333333"	"412.687363508988"	"680.703414776868"	"52"	"0.638473654491961"	"0.913845879520937"	"8818"	"8776"	"9569"	"10896"	"8753"	"6959"	"5438"	"9410"	"9213"	"9829"	"9646"	"9282"	"7000"	"5745"	"6428"	"9477"	"10269"	"6140"	"8393"	"8213"	"13120"	"9736"	"17591"
"E"	"94979.4"	"92350.3333333333"	"3644.19635310723"	"6840.23453330281"	"52"	"0.638473654491961"	"0.913845879520937"	"93475"	"93989"	"94128"	"107967"	"85338"	"71293"	"52228"	"100713"	"100086"	"97911"	"97646"	"93882"	"76229"	"62065"	"67783"	"100941"	"107992"	"67527"	"81191"	"84874"	"134382"	"87277"	"178286"
"F"	"21701.6"	"22096"	"942.071632095989"	"1623.71928213886"	"44"	"0.97126214746352"	"1"	"20895"	"20777"	"21921"	"25201"	"19714"	"16461"	"13515"	"22337"	"23333"	"24039"	"23810"	"22297"	"17815"	"14334"	"15934"	"24018"	"25191"	"15222"	"21014"	"20254"	"31912"	"23849"	"42393"
"G"	"55986"	"61725.1111111111"	"2188.69954539219"	"4498.66652202605"	"41"	"0.800618146155904"	"0.913845879520937"	"55036"	"55488"	"55582"	"63723"	"50101"	"50095"	"36375"	"68027"	"60819"	"63156"	"62641"	"62504"	"52654"	"43121"	"45896"	"71833"	"70714"	"45921"	"50869"	"55187"	"88783"	"62719"	"119738"
"H"	"50389"	"52516.7777777778"	"2006.61167145016"	"3899.44804754808"	"48"	"0.856964545751731"	"0.913845879520937"	"49676"	"49403"	"50416"	"57456"	"44994"	"39978"	"31665"	"54342"	"57202"	"54783"	"54615"	"52771"	"44852"	"37405"	"38989"	"59203"	"61267"	"36966"	"44438"	"47746"	"77836"	"49202"	"102042"
"I"	"53265.6"	"56778.8888888889"	"2243.63712752308"	"4219.54285685575"	"45"	"1"	"1"	"53651"	"52903"	"52492"	"60695"	"46587"	"45111"	"32259"	"61518"	"61158"	"57874"	"56412"	"57983"	"50247"	"42874"	"43745"	"65861"	"67327"	"42682"	"42923"	"51790"	"83511"	"48424"	"110321"
"J"	"55633.2"	"53575.8333333333"	"2538.76886305154"	"4008.53143145069"	"47"	"0.913845879520937"	"0.913845879520937"	"52840"	"52221"	"56516"	"65169"	"51420"	"39064"	"33784"	"53933"	"59479"	"58669"	"59083"	"54426"	"41965"	"32385"	"37335"	"56756"	"59999"	"36658"	"53441"	"49054"	"77382"	"58082"	"102870"
"K"	"46026"	"57500.3888888889"	"1823.00721337026"	"3834.75522830839"	"18"	"0.0457071532586407"	"0.319950072810485"	"45408"	"46412"	"45327"	"52193"	"40790"	"45732"	"36578"	"64137"	"57631"	"55008"	"54338"	"55268"	"53970"	"48754"	"47455"	"71192"	"67203"	"42918"	"44279"	"50041"	"80298"	"53623"	"106582"
"L"	"36065.8"	"41216.2222222222"	"1441.89879672604"	"3074.79628057369"	"32"	"0.36304199233261"	"0.913845879520937"	"35078"	"35265"	"35807"	"41437"	"32742"	"31308"	"26166"	"40110"	"42473"	"42816"	"43147"	"41158"	"35711"	"29292"	"31362"	"46095"	"46135"	"27705"	"36950"	"37113"	"61788"	"41336"	"81227"
"M"	"61284.8"	"60479.5"	"3238.02136188136"	"5449.76227295277"	"47"	"0.913845879520937"	"0.913845879520937"	"56221"	"56600"	"63966"	"72879"	"56758"	"51041"	"30239"	"56443"	"57957"	"68817"	"67632"	"66582"	"43391"	"32474"	"38783"	"60344"	"71017"	"38936"	"57138"	"58031"	"97158"	"65913"	"126735"
"N"	"13247.4"	"11687"	"793.491940727819"	"1137.4199821026"	"62"	"0.226812089512318"	"0.793842313293113"	"11639"	"11806"	"13901"	"15967"	"12924"	"9657"	"5806"	"11985"	"10561"	"13883"	"13383"	"13401"	"7116"	"4740"	"6519"	"10484"	"13807"	"7825"	"11134"	"11503"	"18120"	"15689"	"24753"
