"Feature"	"FeatureName"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"M00001"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	"4843.2"	"5361.22222222222"	"203.337502689494"	"398.587625415479"	"35"	"0.490950696900354"	"0.737272669906911"	"4700"	"4696"	"4898"	"5575"	"4347"	"4053"	"3286"	"5306"	"5479"	"5758"	"5779"	"5492"	"4573"	"3408"	"3929"	"5980"	"6084"	"3686"	"4819"	"4943"	"7667"	"5794"	"10466"
"M00002"	"Glycolysis, core module involving three-carbon compounds"	"2675.2"	"2873.16666666667"	"116.9963247286"	"201.756733250131"	"42"	"0.856964545751731"	"0.903752839916337"	"2626"	"2603"	"2679"	"3094"	"2374"	"2027"	"1882"	"3004"	"3083"	"2985"	"3017"	"2821"	"2507"	"1959"	"2174"	"3265"	"3295"	"2034"	"2560"	"2573"	"3969"	"3095"	"5467"
"M00003"	"Gluconeogenesis, oxaloacetate => fructose-6P"	"3453"	"3787.66666666667"	"134.537727050816"	"265.144047666682"	"38"	"0.638473654491961"	"0.813610524994964"	"3389"	"3407"	"3469"	"3919"	"3081"	"2752"	"2404"	"3945"	"3931"	"3839"	"3909"	"3736"	"3393"	"2759"	"2940"	"4385"	"4255"	"2699"	"3297"	"3456"	"5329"	"3893"	"7256"
"M00004"	"Pentose phosphate pathway (Pentose phosphate cycle)"	"4052.6"	"4645.11111111111"	"168.243157364572"	"349.046496601991"	"35"	"0.490950696900354"	"0.737272669906911"	"3909"	"3949"	"4121"	"4649"	"3635"	"3743"	"2692"	"4586"	"4603"	"5005"	"4808"	"4868"	"3861"	"3186"	"3585"	"5347"	"5249"	"3197"	"3881"	"4300"	"6737"	"4789"	"9175"
"M00005"	"PRPP biosynthesis, ribose 5P => PRPP"	"471.4"	"483.944444444444"	"16.963490206912"	"33.7601567599881"	"50"	"0.745341614906832"	"0.846874218795069"	"447"	"489"	"469"	"525"	"427"	"382"	"285"	"452"	"527"	"477"	"470"	"485"	"409"	"389"	"383"	"571"	"600"	"343"	"424"	"459"	"703"	"448"	"904"
"M00006"	"Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P"	"1348"	"1565.44444444444"	"57.9422125915122"	"110.186954087703"	"32"	"0.36304199233261"	"0.646778695077999"	"1286"	"1325"	"1366"	"1555"	"1208"	"1264"	"914"	"1675"	"1456"	"1626"	"1525"	"1613"	"1421"	"1253"	"1271"	"1965"	"1787"	"1180"	"1137"	"1407"	"2152"	"1534"	"2998"
"M00007"	"Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P"	"2306.4"	"2668.22222222222"	"94.00138296855"	"215.39869638028"	"31"	"0.325180540283515"	"0.602733627697222"	"2210"	"2262"	"2369"	"2627"	"2064"	"2153"	"1493"	"2444"	"2693"	"2945"	"2872"	"2856"	"2076"	"1647"	"1983"	"2911"	"2988"	"1727"	"2449"	"2515"	"4041"	"2837"	"5398"
"M00008"	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	"1064.2"	"1351.38888888889"	"44.5650086951635"	"100.134848259111"	"19"	"0.055395405509822"	"0.194024504780178"	"1034"	"1012"	"1078"	"1228"	"969"	"1080"	"733"	"1380"	"1223"	"1435"	"1355"	"1422"	"1186"	"1075"	"1084"	"1687"	"1542"	"991"	"1000"	"1249"	"1897"	"1332"	"2654"
"M00009"	"Citrate cycle (TCA cycle, Krebs cycle)"	"8728.2"	"8346.33333333333"	"362.671669695883"	"606.879966811928"	"50"	"0.745341614906832"	"0.846874218795069"	"8367"	"8388"	"8734"	"10111"	"8041"	"6263"	"4856"	"8605"	"8895"	"9366"	"8950"	"8626"	"6732"	"5279"	"6010"	"8884"	"9431"	"6088"	"8143"	"7859"	"11711"	"8531"	"16005"
"M00010"	"Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate"	"2147.8"	"2023.22222222222"	"100.933344341699"	"144.351050752339"	"55"	"0.490950696900354"	"0.737272669906911"	"1987"	"2036"	"2210"	"2517"	"1989"	"1546"	"1204"	"2028"	"2189"	"2303"	"2185"	"2082"	"1620"	"1278"	"1440"	"2129"	"2313"	"1518"	"1953"	"1894"	"2862"	"2060"	"3814"
