"Feature"	"FeatureName"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"A"	"RNA processing and modification"	"562.2"	"644.5"	"19.2286244957875"	"52.8338281661741"	"38"	"0.638473654491961"	"0.913845879520937"	"558"	"565"	"557"	"626"	"505"	"546"	"381"	"624"	"708"	"662"	"638"	"697"	"535"	"469"	"506"	"756"	"732"	"439"	"515"	"585"	"1007"	"476"	"1325"
"B"	"Chromatin structure and dynamics"	"306.8"	"312.111111111111"	"12.0557040441444"	"20.7635126312992"	"45.5"	"1"	"1"	"294"	"315"	"310"	"344"	"271"	"207"	"217"	"318"	"365"	"317"	"321"	"272"	"291"	"252"	"241"	"371"	"344"	"223"	"319"	"277"	"429"	"278"	"576"
"C"	"Energy production and conversion"	"35839.2"	"39180.5"	"1545.13712660074"	"3040.26380998652"	"37"	"0.587357722369164"	"0.913845879520937"	"34828"	"34537"	"36284"	"41415"	"32132"	"30713"	"22421"	"38822"	"41571"	"41976"	"42025"	"40863"	"32197"	"25430"	"27973"	"42726"	"44700"	"27253"	"34357"	"36794"	"59529"	"38521"	"77378"
"D"	"Cell cycle control, cell division, chromosome partitioning"	"3162.6"	"3397.77777777778"	"136.645380456128"	"277.293107890134"	"39"	"0.691134952004517"	"0.913845879520937"	"2944"	"2973"	"3266"	"3656"	"2974"	"2578"	"1926"	"3387"	"3375"	"3688"	"3734"	"3417"	"2704"	"2216"	"2477"	"3631"	"3796"	"2193"	"3163"	"3105"	"5241"	"3592"	"6937"
"E"	"Amino acid transport and metabolism"	"36492.4"	"36442.7777777778"	"1475.70327640756"	"2809.41233888968"	"47"	"0.913845879520937"	"0.913845879520937"	"35567"	"35405"	"36173"	"42057"	"33260"	"28054"	"20560"	"38954"	"38571"	"38955"	"38972"	"37133"	"29956"	"23865"	"26325"	"39690"	"42303"	"25465"	"31818"	"33693"	"54058"	"35650"	"71948"
"F"	"Nucleotide transport and metabolism"	"9434.8"	"9606.44444444445"	"457.665205144547"	"743.166398305306"	"44"	"0.97126214746352"	"1"	"8979"	"8833"	"9551"	"11163"	"8648"	"7244"	"5695"	"9610"	"10182"	"10621"	"10326"	"9810"	"7626"	"5911"	"6781"	"10353"	"10966"	"6564"	"8940"	"8923"	"14212"	"10248"	"18904"
"G"	"Carbohydrate transport and metabolism"	"24978.6"	"29684.3888888889"	"1100.31457320168"	"2275.76976726283"	"29"	"0.257065588873369"	"0.913845879520937"	"23936"	"23812"	"25428"	"29022"	"22695"	"23901"	"17686"	"30477"	"28023"	"31059"	"31106"	"30243"	"24750"	"19760"	"21106"	"34185"	"33961"	"20765"	"25275"	"27002"	"44048"	"32202"	"58770"
"H"	"Coenzyme transport and metabolism"	"22666.4"	"22439.8888888889"	"955.308881985298"	"1754.17266849868"	"49"	"0.800618146155904"	"0.913845879520937"	"21762"	"21734"	"22940"	"26211"	"20685"	"16852"	"12981"	"23153"	"24108"	"24189"	"24306"	"22871"	"18323"	"14352"	"15909"	"23962"	"25930"	"15293"	"20420"	"20762"	"33470"	"22422"	"44615"
"I"	"Lipid transport and metabolism"	"19129.6"	"20727.3333333333"	"860.178330347841"	"1558.18466104262"	"45"	"1"	"1"	"18976"	"18495"	"19199"	"22145"	"16833"	"15874"	"12189"	"21699"	"22353"	"21438"	"21033"	"20948"	"18275"	"15203"	"15846"	"23836"	"24506"	"14832"	"16643"	"18942"	"30890"	"18038"	"40547"
"J"	"Translation, ribosomal structure and biogenesis"	"34161"	"32417.2222222222"	"1621.67909895885"	"2514.07629388494"	"49"	"0.800618146155904"	"0.913845879520937"	"32373"	"31943"	"34649"	"40282"	"31558"	"23859"	"19938"	"32769"	"35921"	"35680"	"35916"	"33370"	"24960"	"18742"	"21894"	"34100"	"36635"	"22141"	"32082"	"29877"	"47904"	"34681"	"63041"
