"Feature"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"pfam00003"	"0.4"	"0"	"0.4"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam00004"	"10503"	"12324.1111111111"	"654.534185509053"	"896.927973765707"	"32"	"0.36304199233261"	"0.585899404211635"	"9714"	"9415"	"10578"	"13006"	"9802"	"8506"	"8461"	"13041"	"12725"	"11788"	"12425"	"11789"	"11221"	"9653"	"9616"	"13857"	"14017"	"8575"	"11483"	"10380"	"18830"	"11605"	"23862"
"pfam00005"	"61281"	"82220.7222222222"	"3257.52425931105"	"6344.11182965952"	"20"	"0.0666884602811376"	"0.190823826604322"	"58046"	"58705"	"62543"	"73126"	"53985"	"56259"	"57215"	"104622"	"96096"	"67608"	"73175"	"71399"	"83577"	"75961"	"66695"	"102756"	"97538"	"54182"	"62409"	"61825"	"122934"	"69035"	"156687"
"pfam00006"	"6978.6"	"6932.83333333333"	"425.348868577313"	"521.378121352284"	"51"	"0.691134952004517"	"0.756108247895201"	"6566"	"6065"	"7281"	"8490"	"6491"	"5352"	"4275"	"7442"	"7412"	"7050"	"6886"	"6935"	"5600"	"4747"	"5197"	"7204"	"8250"	"5160"	"5782"	"6125"	"10369"	"7394"	"13611"
"pfam00007"	"0"	"0.277777777777778"	"0"	"0.277777777777778"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"
"pfam00008"	"5"	"1.05555555555556"	"1.89736659610103"	"0.514319286289964"	"73"	"0.0234057981930928"	"0.0881571073191316"	"6"	"0"	"6"	"11"	"2"	"0"	"3"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"8"	"0"
"pfam00009"	"10998.2"	"11076.1666666667"	"695.026718910863"	"828.521962386552"	"50"	"0.745341614906832"	"0.796760287553504"	"9902"	"9581"	"11759"	"13347"	"10402"	"8131"	"6772"	"12704"	"11631"	"10662"	"11226"	"11129"	"9027"	"7515"	"8297"	"11782"	"13046"	"8025"	"10398"	"9180"	"16807"	"11763"	"21276"
"pfam00010"	"0"	"1.33333333333333"	"0"	"0.530137483709638"	"30"	"0.161652991949082"	"0.342277206857378"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"6"	"0"	"3"	"4"	"0"
"pfam00011"	"3389.8"	"4871.27777777778"	"227.607425186438"	"424.228040211477"	"12"	"0.0117091146839431"	"0.0542980149975664"	"2997"	"3309"	"3661"	"4116"	"2866"	"4126"	"3078"	"3915"	"5111"	"4388"	"4724"	"4904"	"4650"	"3995"	"3798"	"5467"	"6020"	"2937"	"3983"	"4200"	"8348"	"3847"	"10192"
"pfam00012"	"5309"	"5449.61111111111"	"356.494459985004"	"433.145729668426"	"45"	"1"	"1"	"4705"	"4768"	"5463"	"6632"	"4977"	"4036"	"3020"	"5366"	"4847"	"5575"	"5635"	"5762"	"4437"	"3859"	"3914"	"5747"	"6331"	"4057"	"5118"	"5069"	"8088"	"6066"	"11166"
"pfam00013"	"1283.2"	"1372.66666666667"	"100.144595460764"	"98.2481518727209"	"38"	"0.638473654491961"	"0.74521387741079"	"1202"	"1102"	"1346"	"1645"	"1121"	"819"	"1183"	"1809"	"1545"	"1355"	"1364"	"1172"	"1224"	"919"	"1010"	"1541"	"1488"	"885"	"1352"	"1162"	"1847"	"1463"	"2570"
"pfam00014"	"0"	"3.5"	"0"	"3.21785257017762"	"40"	"0.492778130690203"	"0.669435894685097"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"58"	"0"
"pfam00015"	"2018"	"2616.38888888889"	"172.795543924026"	"306.380889211099"	"33"	"0.403280929596719"	"0.617095779085421"	"1654"	"1673"	"2221"	"2568"	"1974"	"1975"	"1490"	"4410"	"2189"	"2705"	"2662"	"2905"	"1693"	"694"	"1156"	"2219"	"3158"	"1471"	"1897"	"2432"	"4116"	"4153"	"5770"
"pfam00016"	"305.8"	"938.722222222222"	"14.2386797140746"	"90.7720266416067"	"0"	"0.000907769080441797"	"0.012159070287027"	"313"	"353"	"296"	"302"	"265"	"599"	"707"	"863"	"909"	"584"	"755"	"740"	"1258"	"1388"	"990"	"1270"	"1081"	"590"	"372"	"710"	"1406"	"755"	"1920"
"pfam00017"	"0"	"0.388888888888889"	"0"	"0.269820672581281"	"40"	"0.492778130690203"	"0.669435894685097"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"4"	"0"
"pfam00018"	"2.8"	"3.05555555555556"	"1.2"	"1.0890789483324"	"48.5"	"0.808995523886689"	"0.845772470131929"	"4"	"4"	"0"	"6"	"0"	"0"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"4"	"0"	"0"	"17"	"6"	"0"	"7"	"8"
"pfam00020"	"1"	"0.333333333333333"	"0.632455532033676"	"0.242535625036333"	"57.5"	"0.175685422325914"	"0.363281012435578"	"0"	"0"	"0"	"3"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"
"pfam00021"	"0.4"	"0.277777777777778"	"0.4"	"0.225868773799052"	"49"	"0.655951342995238"	"0.74521387741079"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"
"pfam00022"	"3.4"	"13.3333333333333"	"1.43527000944073"	"2.44013285827085"	"21"	"0.0778351063218065"	"0.205343394702143"	"7"	"5"	"5"	"0"	"0"	"3"	"17"	"18"	"20"	"10"	"20"	"14"	"0"	"0"	"24"	"6"	"0"	"3"	"35"	"5"	"18"	"25"	"22"
"pfam00023"	"209"	"287.055555555556"	"18.8042548376691"	"35.577079371638"	"29"	"0.257065588873369"	"0.478209108511919"	"182"	"166"	"210"	"276"	"211"	"189"	"158"	"213"	"179"	"259"	"251"	"293"	"198"	"178"	"281"	"314"	"291"	"111"	"243"	"229"	"623"	"546"	"611"
"pfam00024"	"0.6"	"5.5"	"0.6"	"1.45127845375269"	"19.5"	"0.0510378672046207"	"0.157890455377142"	"3"	"0"	"0"	"0"	"0"	"3"	"0"	"10"	"14"	"7"	"3"	"0"	"6"	"0"	"3"	"0"	"4"	"0"	"7"	"6"	"14"	"0"	"22"
"pfam00025"	"291.8"	"290.444444444444"	"43.5940362893825"	"41.949177328961"	"50"	"0.745341614906832"	"0.796760287553504"	"218"	"188"	"347"	"428"	"278"	"289"	"70"	"128"	"159"	"410"	"411"	"328"	"190"	"66"	"208"	"214"	"398"	"100"	"368"	"269"	"589"	"294"	"737"
"pfam00026"	"7"	"15.8333333333333"	"1.30384048104053"	"2.28700506271034"	"18"	"0.0475276832578181"	"0.149640764418766"	"12"	"6"	"7"	"5"	"5"	"6"	"6"	"3"	"26"	"11"	"10"	"8"	"22"	"24"	"7"	"19"	"20"	"6"	"30"	"10"	"34"	"15"	"28"
"pfam00027"	"5628.8"	"9223.27777777778"	"415.494091414066"	"1002.97851131216"	"12"	"0.0117091146839431"	"0.0542980149975664"	"4746"	"5458"	"6262"	"6877"	"4801"	"8379"	"4253"	"7178"	"8883"	"9364"	"9905"	"10313"	"7732"	"5706"	"5621"	"9529"	"10540"	"5267"	"7821"	"8501"	"17489"	"7731"	"21807"
"pfam00028"	"86.6"	"3.61111111111111"	"11.7029910706622"	"1.91338404129173"	"90"	"0.000343095091469672"	"0.00859517472664513"	"56"	"111"	"94"	"110"	"62"	"0"	"0"	"31"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"17"	"2"
"pfam00030"	"87.6"	"19.8333333333333"	"13.0713427007328"	"2.61375196726951"	"90"	"0.000897152548451136"	"0.012159070287027"	"54"	"71"	"87"	"132"	"94"	"12"	"12"	"32"	"28"	"15"	"25"	"18"	"34"	"5"	"21"	"12"	"27"	"2"	"20"	"18"	"35"	"3"	"38"
"pfam00032"	"1026.2"	"1452.61111111111"	"120.978262510254"	"207.393568875793"	"34"	"0.446016226336592"	"0.666417850729459"	"805"	"749"	"1174"	"1406"	"997"	"1126"	"656"	"650"	"1410"	"1769"	"1987"	"1779"	"696"	"289"	"612"	"1093"	"1574"	"632"	"2027"	"1484"	"3077"	"1636"	"3650"
"pfam00033"	"1388.4"	"1694.83333333333"	"127.908404727758"	"229.228690358908"	"37"	"0.587357722369164"	"0.74521387741079"	"1122"	"1144"	"1602"	"1768"	"1306"	"1406"	"685"	"974"	"1447"	"2141"	"2333"	"2071"	"870"	"463"	"780"	"1284"	"1777"	"839"	"2110"	"1790"	"3436"	"1864"	"4237"
"pfam00034"	"4785.4"	"6135.38888888889"	"478.937428063416"	"889.960247841349"	"35"	"0.490950696900354"	"0.669435894685097"	"3591"	"4102"	"5468"	"6253"	"4513"	"6265"	"1458"	"3930"	"5278"	"7423"	"8006"	"7750"	"3134"	"1562"	"2941"	"4358"	"7439"	"2815"	"6359"	"6470"	"13236"	"5856"	"16157"
"pfam00035"	"499.4"	"736.277777777778"	"38.4351401714629"	"70.442801417923"	"16"	"0.0302534993610508"	"0.106561454597089"	"415"	"433"	"520"	"632"	"497"	"502"	"427"	"843"	"713"	"710"	"740"	"763"	"618"	"554"	"571"	"805"	"852"	"335"	"604"	"594"	"1290"	"726"	"1606"
"pfam00036"	"39.8"	"141.777777777778"	"13.2"	"23.683859476646"	"12"	"0.0153926886269564"	"0.0644239972239441"	"38"	"89"	"28"	"10"	"34"	"278"	"22"	"68"	"91"	"173"	"121"	"231"	"94"	"12"	"47"	"86"	"243"	"139"	"69"	"147"	"255"	"91"	"385"
"pfam00037"	"2618.8"	"3957.5"	"171.232415155542"	"343.641497433255"	"13"	"0.0150970311153378"	"0.0643325938655056"	"2239"	"2484"	"2926"	"3115"	"2330"	"2614"	"3018"	"3190"	"4234"	"3746"	"4394"	"3980"	"3328"	"2419"	"2660"	"4245"	"4268"	"2046"	"4747"	"3265"	"6259"	"4704"	"8118"
"pfam00041"	"641.2"	"800.388888888889"	"46.5192433300457"	"88.0806277577646"	"41"	"0.800618146155904"	"0.837215631484816"	"545"	"589"	"657"	"813"	"602"	"477"	"546"	"1293"	"914"	"692"	"525"	"543"	"748"	"666"	"490"	"1131"	"1141"	"367"	"572"	"514"	"1168"	"822"	"1798"
"pfam00042"	"43.4"	"150.555555555556"	"3.48711915483254"	"22.4300251358803"	"11"	"0.0124399038794753"	"0.0565888636973463"	"38"	"46"	"38"	"56"	"39"	"100"	"144"	"137"	"170"	"36"	"68"	"92"	"244"	"318"	"220"	"281"	"305"	"42"	"38"	"63"	"180"	"60"	"212"
"pfam00043"	"1893"	"1427.16666666667"	"118.748894731698"	"198.881517097837"	"69"	"0.0795863175725876"	"0.205343394702143"	"1656"	"1767"	"2059"	"2277"	"1706"	"1600"	"240"	"1695"	"2499"	"1555"	"1396"	"1712"	"735"	"353"	"538"	"939"	"1996"	"1125"	"840"	"1447"	"2800"	"863"	"3356"
"pfam00044"	"980.8"	"1248.11111111111"	"58.7234195189619"	"97.6015606087357"	"26"	"0.173556420696009"	"0.359134959559725"	"905"	"883"	"988"	"1205"	"923"	"838"	"846"	"1635"	"1288"	"1064"	"1097"	"1263"	"1156"	"1057"	"1018"	"1551"	"1609"	"794"	"895"	"1011"	"1824"	"1122"	"2398"
"pfam00045"	"2.6"	"9.66666666666667"	"1.12249721603218"	"2.16478047612314"	"20.5"	"0.0729265764944286"	"0.195692298687256"	"1"	"7"	"2"	"1"	"2"	"5"	"4"	"12"	"8"	"4"	"0"	"37"	"8"	"19"	"7"	"16"	"0"	"15"	"0"	"3"	"13"	"5"	"18"
"pfam00046"	"0.6"	"0.333333333333333"	"0.6"	"0.198029508595335"	"47.5"	"0.821439978070954"	"0.856725568809239"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"
"pfam00047"	"0.6"	"0.444444444444444"	"0.6"	"0.315422967634344"	"48.5"	"0.70235677969478"	"0.765975095456871"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam00050"	"12.8"	"6.16666666666667"	"3.00665927567458"	"1.39384735804045"	"72.5"	"0.0427627327608251"	"0.138811215791581"	"14"	"13"	"9"	"23"	"5"	"8"	"0"	"11"	"0"	"0"	"10"	"7"	"0"	"0"	"3"	"6"	"19"	"4"	"4"	"7"	"19"	"4"	"9"
"pfam00052"	"0.6"	"0.166666666666667"	"0.6"	"0.166666666666667"	"51.5"	"0.359942102475147"	"0.585899404211635"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam00053"	"0.2"	"0.111111111111111"	"0.2"	"0.111111111111111"	"51"	"0.401851891879175"	"0.617095779085421"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam00054"	"3"	"0.5"	"1.84390889145858"	"0.232210182006412"	"57"	"0.266414703340184"	"0.492230184088463"	"7"	"0"	"0"	"8"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"
"pfam00056"	"1312"	"1453.38888888889"	"83.3378665433667"	"132.551756789686"	"38"	"0.638473654491961"	"0.74521387741079"	"1185"	"1158"	"1313"	"1625"	"1279"	"1102"	"757"	"1532"	"1606"	"1521"	"1511"	"1502"	"1063"	"784"	"920"	"1488"	"1729"	"884"	"1397"	"1320"	"2295"	"1663"	"3087"
"pfam00057"	"0.2"	"0"	"0.2"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam00058"	"25.6"	"33.6111111111111"	"3.50142828000232"	"4.63020693568307"	"43"	"0.910891563783357"	"0.919984045243255"	"29"	"27"	"32"	"28"	"12"	"34"	"27"	"20"	"23"	"21"	"28"	"20"	"37"	"55"	"23"	"24"	"56"	"4"	"14"	"26"	"76"	"46"	"71"
"pfam00059"	"8.4"	"3.72222222222222"	"1.80554700852678"	"1.17380325804557"	"71.5"	"0.0473082517873286"	"0.149003852459148"	"10"	"11"	"7"	"12"	"2"	"0"	"12"	"17"	"0"	"9"	"0"	"0"	"0"	"2"	"0"	"3"	"2"	"0"	"9"	"0"	"3"	"5"	"5"
"pfam00060"	"4.8"	"9.55555555555556"	"3.83927076409049"	"1.65727199700009"	"21"	"0.0788026451944294"	"0.205343394702143"	"0"	"1"	"3"	"20"	"0"	"4"	"6"	"2"	"14"	"6"	"13"	"19"	"13"	"6"	"3"	"9"	"26"	"0"	"8"	"10"	"3"	"9"	"21"
"pfam00062"	"0"	"0.333333333333333"	"0"	"0.242535625036333"	"40"	"0.492778130690203"	"0.669435894685097"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"
