pfam02950	Conotoxin
pfam10488	Phosphatase-1 catalytic subunit binding region
pfam04309	Glycerol-3-phosphate responsive antiterminator
pfam05342	M26 IgA1-specific Metallo-endopeptidase N-terminal region
pfam17084	Topoisomerase I damage affected protein 11
pfam11883	Domain of unknown function (DUF3403)
pfam13634	Nucleoporin FG repeat region
pfam12540	Protein of unknown function (DUF3736)
pfam11092	Neuronal protein 3.1 (p311)
pfam06755	CbtA_toxin of type IV toxin-antitoxin system
pfam14394	Domain of unknown function (DUF4423)
pfam09991	Predicted membrane protein (DUF2232)
pfam00483	Nucleotidyl transferase
pfam09869	Uncharacterized protein conserved in archaea (DUF2096)
pfam17965	Mucin binding domain
pfam01035	6-O-methylguanine DNA methyltransferase, DNA binding domain
pfam01888	CbiD
pfam16427	Domain of unknown function (DUF5024)
pfam04683	Proteasome complex subunit Rpn13 ubiquitin receptor
pfam15441	RhoGEF 5/35 N-terminal disordered region
pfam06061	Baculoviridae ME53
pfam12851	Oxygenase domain of the 2OGFeDO superfamily 
pfam18563	TubC N-terminal docking domain
pfam06222	Phage tail assembly chaperone
pfam14796	Clathrin-adaptor complex-3 beta-1 subunit C-terminal
pfam18814	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease5
pfam13114	RecO N terminal
pfam14248	Domain of unknown function (DUF4345)
pfam14057	GGGtGRT protein
pfam14688	Domain of unknown function (DUF4461)
pfam19890	Domain of unknown function (DUF6363)
pfam09165	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal
pfam08568	Uncharacterised protein family, YAP/Alf4/glomulin
pfam18602	Rap1a immunity proteins
pfam17191	RecG wedge domain
pfam14019	Protein of unknown function (DUF4235)
pfam14155	Domain of unknown function (DUF4307)
pfam01659	Luteovirus putative VPg genome linked protein
pfam04573	Signal peptidase subunit
pfam07710	P53 tetramerisation motif
pfam02301	HORMA domain
pfam01528	Herpesvirus glycoprotein M
pfam02333	Phytase
pfam01845	CcdB protein
pfam14578	Elongation factor Tu domain 4
pfam01617	Surface antigen
pfam10445	Protein of unknown function (DUF2456)
pfam00204	DNA gyrase B
pfam09067	Erythropoietin receptor, ligand binding
pfam13441	YMGG-like Gly-zipper
pfam19421	Furry protein C-terminal
pfam18397	IQBAL scaffold dimerization domain
pfam15114	Uncharacterised protein family UPF0640
pfam12338	Ribulose-1,5-bisphosphate carboxylase small subunit
pfam11523	Protein of unknown function (DUF3223)
pfam06196	Protein of unknown function (DUF997)
pfam02207	Putative zinc finger in N-recognin (UBR box)
pfam14645	Chibby family
pfam01149	Formamidopyrimidine-DNA glycosylase N-terminal domain
pfam14859	Colicin M
pfam19074	Family of unknown function (DUF5770)
pfam12402	NocA-like zinc-finger protein 1
pfam12011	RNA helicase NPH-II 
pfam01936	NYN domain
pfam09322	Domain of unknown function (DUF1979)
pfam03342	Rhabdovirus M1 matrix protein (M1 polymerase-associated protein)
pfam01137	RNA 3'-terminal phosphate cyclase
pfam12270	Cytochrome c oxidase subunit IV
pfam18291	HU domain fused to wHTH, Ig, or Glycine-rich motif
pfam00260	Protamine P1
pfam18054	CEL-III C-terminal
pfam14285	Domain of unknown function (DUF4367)
pfam11516	Protein of unknown function (DUF3120)
pfam14817	HAUS augmin-like complex subunit 5
pfam17066	RBPJ-interacting and tubulin associated protein
pfam15634	HYE1 signature containing ADP-ribosyltransferase
pfam17234	Mitochondrial peculiar membrane protein 1
pfam00212	Atrial natriuretic peptide
pfam12220	U1 small nuclear ribonucleoprotein of 70kDa MW N terminal
pfam09372	PRANC domain
pfam10417	C-terminal domain of 1-Cys peroxiredoxin
pfam15102	TMEM154 protein family
pfam14149	YhfH-like protein
pfam01645	Conserved region in glutamate synthase
pfam01285	TEA/ATTS domain
pfam04516	CP2 transcription factor
pfam01817	Chorismate mutase type II
pfam08352	Oligopeptide/dipeptide transporter, C-terminal region
pfam14936	Tumour protein p53-inducible protein 11
pfam10459	Peptidase S46
pfam13044	Fusion glycoprotein F0, Isavirus 
pfam19024	Family of unknown function (DUF5750)
pfam06486	Protein of unknown function (DUF1093)
pfam14137	Domain of unknown function (DUF4304)
pfam19471	Family of unknown function (DUF6008)
pfam09703	CRISPR-associated protein (Cas_Csa4)
pfam15968	Membrane-anchored ion channel, Abi component
pfam06542	Regulator protein PHA-1
pfam09731	Mitochondrial inner membrane protein
pfam14845	beta-acetyl hexosaminidase like
pfam14528	LAGLIDADG-like domain
pfam16952	Glutamine synthetase N-terminal domain
pfam14659	Phage integrase, N-terminal SAM-like domain
pfam01155	Hydrogenase/urease nickel incorporation, metallochaperone, hypA
pfam11573	Mediator complex subunit 23
pfam05963	Cytomegalovirus US3 protein
pfam19708	Family of unknown function (DUF6205)
pfam18451	Contact-dependent growth inhibition CdiA C-terminal domain
pfam07762	Protein of unknown function (DUF1618)
pfam04523	Herpes virus tegument protein U30
pfam14617	U3-containing 90S pre-ribosomal complex subunit
pfam12414	Calcitonin gene-related peptide regulator C terminal
pfam01578	Cytochrome C assembly protein
pfam15834	Testis highly expressed protein 4
pfam06749	Protein of unknown function (DUF1218)
pfam12141	Beta-mannosyltransferases
pfam17481	Phage tail sheath protein beta-sandwich domain
pfam01248	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
pfam01057	Parvovirus non-structural protein NS1
pfam03963	Flagellar hook capping protein - N-terminal region
pfam06400	Alpha-2-macroglobulin RAP, N-terminal domain
pfam01796	DUF35 OB-fold domain, acyl-CoA-associated
pfam18134	Adenylyl/Guanylyl and SMODS C-terminal sensor domain
pfam11683	Protein of unknown function (DUF3278)
pfam13834	Domain of unknown function (DUF4193)
pfam09669	Phage regulatory protein Rha (Phage_pRha)
pfam07569	TUP1-like enhancer of split
pfam06737	Transglycosylase-like domain
pfam13968	Domain of unknown function (DUF4220)
pfam01019	Gamma-glutamyltranspeptidase
pfam11243	Protein of unknown function (DUF3045)
pfam16477	Domain of unknown function (DUF5054)
pfam01688	Alphaherpesvirus glycoprotein I
pfam04092	SRS domain
pfam04883	Bacteriophage HK97-gp10, putative tail-component
pfam01394	Clathrin propeller repeat
pfam12651	Ribbon-helix-helix domain
pfam07382	Histone H1-like nucleoprotein HC2
pfam15044	Mitochondrial function, CLU-N-term
pfam06464	DMAP1-binding Domain
pfam11309	Protein of unknown function (DUF3112)
pfam00193	Extracellular link domain
pfam18614	RNase II-type exonuclease C-terminal S1 domain
pfam14888	Penicillin-binding protein Tp47 domain C
pfam20100	Family of unknown function (DUF6490)
pfam14035	YlzJ-like protein
pfam19690	Family of unknown function (DUF6191)
pfam17590	Family of unknown function (DUF5488)
pfam18802	CxC1 like cysteine cluster associated with KDZ transposases
pfam13102	Phage integrase SAM-like domain
pfam10198	Histone acetyltransferases subunit 3
pfam12916	Protein of unknown function (DUF3834)
pfam01031	Dynamin central region
pfam04376	Arginine-tRNA-protein transferase, N terminus
pfam12117	Parvovirus non-structural protein 1, C-terminal
pfam01003	Flavivirus capsid protein C
pfam07804	HipA-like C-terminal domain
pfam02536	mTERF
pfam09995	ER-bound oxygenase mpaB/B'/Rubber oxygenase, catalytic domain
pfam03483	B3/4 domain
pfam17899	Peptidase M61 N-terminal domain
pfam17961	Bacterial Ig domain
pfam10634	Fe2+ transport protein
pfam09512	Thiamine-precursor transporter protein (ThiW)
pfam11008	Protein of unknown function (DUF2846)
pfam06751	Ethanolamine ammonia lyase large subunit (EutB)
pfam12159	Protein of unknown function (DUF3593)
pfam11326	Protein of unknown function (DUF3128)
pfam19932	Family of unknown function (DUF6395)
pfam13488	Glycine zipper
