Sequence_ID	sample_name
ASV_1	Field_10_D1
ASV_10011	Field_10_D1
ASV_10012	Field_10_D1
ASV_10013	Field_10_D1
ASV_10014	Field_10_D1
ASV_1003	Field_10_D1
ASV_10031	Field_19_D1
ASV_10032	Field_10_D1
ASV_10046	Field_10_D1
ASV_10047	Field_19_D1
ASV_10048	Field_10_D1
ASV_10049	Field_10_D1
ASV_10050	Field_10_D1
ASV_10051	Field_10_D1
ASV_10062	Field_10_D1
ASV_10063	Field_10_D1
ASV_10064	Field_19_D1
ASV_10068	Field_10_D1
ASV_10083	Field_10_D1
ASV_10096	Field_10_D1
ASV_10097	Field_19_D1
ASV_10111	Field_10_D1
ASV_10130	Field_19_D1
ASV_10133	Field_10_D1
ASV_1015	Field_10_D1
ASV_10150	Field_46_D1
ASV_10152	Field_10_D1
ASV_10153	Field_10_D1
ASV_10168	Field_10_D1
ASV_10169	Field_19_D1
ASV_1017	Field_10_D1
ASV_10170	Field_10_D1
ASV_10171	Field_19_D1
ASV_10175	Field_10_D1
ASV_1018	Field_19_D2
ASV_10187	Field_10_D1
ASV_1019	Field_10_D1
ASV_10203	Field_10_D1
ASV_10204	Field_10_D1
ASV_1021	Field_10_D1
ASV_10217	Field_10_D1
ASV_10219	Field_10_D1
ASV_10220	Field_10_D1
ASV_10223	Field_19_D1
ASV_10225	Field_10_D1
ASV_10227	Field_36_D2
ASV_10228	Field_10_D1
ASV_1023	Field_10_D1
ASV_10245	Field_10_D1
ASV_10247	Field_10_D1
ASV_10248	Field_10_D1
ASV_10261	Field_46_D1
ASV_1027	Field_10_D1
ASV_10270	Field_10_D1
ASV_10271	Field_10_D1
ASV_10282	Field_10_D1
ASV_10283	Field_10_D1
ASV_10284	Field_10_D1
ASV_10287	Field_36_D1
ASV_1029	Field_10_D1
ASV_1030	Field_10_D1
ASV_10300	Field_10_D1
ASV_103014	Field_36_D1
ASV_103023	Field_43_D1
ASV_103032	Field_46_D1
ASV_10304	Field_10_D2
ASV_103052	Field_10_D1
ASV_103063	Field_10_D1
ASV_103066	+ASW_3_D1
ASV_103074	+SO4_5B_D2
ASV_103076	+SO4_3_D2
ASV_103078	Field_46_D2
ASV_103081	Field_10_D1
ASV_103089	Control_5_D1
ASV_103091	Field_19_D1
ASV_103093	Field_10_D1
ASV_103099	Field_46_D1
ASV_103110	Field_10_D1
ASV_103113	Field_10_D2
ASV_103121	Field_10_D1
ASV_103132	+ASW_4_D1
ASV_103134	+ASW_3_D1
ASV_103137	Field_46_D1
ASV_103138	Field_36_D1
ASV_103140	+SO4_5B_D2
ASV_103148	+SO4_3_D1
ASV_103149	Field_36_D1
ASV_103154	Field_10_D1
ASV_103161	+ASW_3_D1
ASV_103162	Control_4_D1
ASV_103166	Field_19_D1
