Domain	Status	Genome ID	Genome Name	
Archaea	Finished	641228483	Caldivirga maquilingensis IC-167	
Archaea	Finished	2511231093	Thermoproteus tenax Kra1	
Archaea	Permanent Draft	2728369306	Archaeoglobus sp. JdFR-41	
Archaea	Permanent Draft	2728369307	Archaeoglobus sp. JdFR-39	
Archaea	Permanent Draft	2728369335	Archaeoglobus sp. JdFR-38	
Archaea	Permanent Draft	2770939430	unclassified Thaumarchaeota Obs6_genome_101 Obs6_genome_101	
Archaea	Finished	639633053	Pyrobaculum islandicum DSM 4184	
Archaea	Finished	641522657	Pyrobaculum neutrophilum V24Sta	
Archaea	Permanent Draft	2681813011	Vulcanisaeta distributa JCM 11216	
Archaea	Permanent Draft	2718217643	Unclassified Aigarchaeota JZ bin_15	
Archaea	Permanent Draft	2728369333	Archaeoglobus sp. JdFR-31	
Archaea	Permanent Draft	2770939344	unclassified Thaumarchaeota Obs2_genome_015 Obs2_genome_015	
Archaea	Permanent Draft	2770939356	Caldivirga sp. Obs2_genome_027 Obs2_genome_027	
Archaea	Permanent Draft	2770939375	unclassified Candidatus Geoarchaeota Obs3_genome_046 Obs3_genome_046	
Archaea	Permanent Draft	2791354985	Vulcanisaeta thermophila CBA1501	
Archaea	Finished	638154513	Pyrobaculum aerophilum IM2	
Archaea	Finished	640427135	Pyrobaculum arsenaticum PZ6, DSM 13514	
Archaea	Finished	2504136002	Archaeoglobus veneficus SNP6, DSM 11195	
Archaea	Permanent Draft	2522125038	Thermoproteales-Type-1-TT1-r01	
Archaea	Permanent Draft	2522125040	Thermoproteales-Type-1-TT1-r03	
Archaea	Permanent Draft	2681813042	Vulcanisaeta sp. JCM 14467	
Archaea	Permanent Draft	2728369309	Archaeoglobus sp. JdFR-35	
Archaea	Permanent Draft	2728369317	Candidatus Hydrothermarchaeota archaeon JdFR-16	
Archaea	Permanent Draft	2728369320	Candidatus Hydrothermarchaeota archaeon JdFR-18	
Archaea	Permanent Draft	2728369326	Archaeoglobus sp. JdFR-24	
Archaea	Permanent Draft	2770939332	unclassified Archaeon Obs2_genome_003 Obs2_genome_003	
Archaea	Permanent Draft	2770939402	Caldivirga sp. Obs4_genome_073 Obs4_genome_073	
Archaea	Permanent Draft	2770939429	unclassified Thermoplasmatales Obs6_genome_100 Obs6_genome_100	
Archaea	Permanent Draft	2504557010	Thermoproteales Type I	
Archaea	Permanent Draft	2264867229	Aigarchaeota archaeon JGI 0000106-J15 (contamination screened)	
Archaea	Permanent Draft	2728369310	Archaeoglobus sp. JdFR-22	
Archaea	Permanent Draft	2728369313	Archaeoglobus sp. JdFR-26	
Archaea	Permanent Draft	2728369331	Archaeoglobus sp. JdFR-34	
Archaea	Permanent Draft	2770939342	Archaeoglobus sp. Obs2_genome_013 Obs2_genome_013	
Archaea	Permanent Draft	2551306702	Pyrobaculum T1 r02	
Archaea	Permanent Draft	2728369327	Archaeoglobus sp. JdFR-27	
Archaea	Permanent Draft	2728369329	Archaeoglobus sp. JdFR-23	
Archaea	Permanent Draft	2728369330	Archaeoglobus sp. JdFR-32	
Archaea	Finished	640069326	Pyrobaculum calidifontis JCM 11548	
Archaea	Finished	650377985	Vulcanisaeta moutnovskia 768-28	
Archaea	Finished	2512047039	Pyrobaculum oguniense TE7, DSM 13380	
Archaea	Permanent Draft	2505313064	Thermofilum sp.	
Archaea	Permanent Draft	2528311132	Archaeoglobus fulgidus 7324	
Archaea	Permanent Draft	2551306700	Pyrobaculum T1 r03	
Archaea	Permanent Draft	2681813009	Vulcanisaeta distributa JCM 11213	
Archaea	Permanent Draft	2721755890	Archaeoglobus sp. JZ bin_24	
Archaea	Permanent Draft	2728369312	Archaeoglobus sp. JdFR-25	
Archaea	Permanent Draft	2770939350	unclassified Candidatus Geoarchaeota Obs2_genome_021 Obs2_genome_021	
Archaea	Permanent Draft	2770939391	unclassified Thermoproteaceae Obs4_genome_062 Obs4_genome_062	
Archaea	Permanent Draft	2829320537	Methanosarcinales archaeon DeMMO5_32	
Archaea	Permanent Draft	2999999831	Methanodesulfokores washburnensis MDKW	
Archaea	Finished	638154502	Archaeoglobus fulgidus VC-16, DSM 4304	
Archaea	Finished	646311906	Archaeoglobus profundus Av18, DSM 5631	
Archaea	Finished	648028062	Vulcanisaeta distributa DSM 14429	
Archaea	Permanent Draft	2504557009	Thermoproteales Type I archaeon	
Archaea	Permanent Draft	2571042356	Thermoplasmata T3F75	
Archaea	Finished	2588253768	Archaeoglobus fulgidus DSM 8774	
Archaea	Permanent Draft	2681813013	Vulcanisaeta souniana JCM 11219	
Archaea	Permanent Draft	2721755428	Unclassfied Crenarchaeota DRTY7 bin_25_26	
Archaea	Permanent Draft	2770939387	Thermocladium sp. Obs4_genome_058 Obs4_genome_058	
Archaea	Permanent Draft	2770939438	Thermocladium sp. Obs6_genome_109 Obs6_genome_109	
Archaea	Permanent Draft	2893491077	Unclassified Euryarchaeota archaeon S19_FULL_No.1_1.2_96	
Archaea	Finished	2511231117	Pyrobaculum ferrireducens 1860	
Archaea	Permanent Draft	2504557011	Thermoproteales Type I	
Archaea	Permanent Draft	2522125039	Thermoproteales-Type-1-TT1-r02	
Archaea	Finished	2522125074	Archaeoglobus sulfaticallidus PM70-1, DSM 19444	
Archaea	Permanent Draft	2571042357	Uncultured Thermoplasmata T3M75	
Archaea	Permanent Draft	2728369322	Candidatus Hydrothermarchaeota archaeon JdFR-17	
Bacteria	Finished	637000155	Magnetospirillum magneticum AMB-1	
Bacteria	Finished	639633019	Candidatus Ruthia magnifica Cm	
Bacteria	Finished	640427130	Chlorobium phaeovibrioides DSM 265	
Bacteria	Permanent Draft	647000236	Solidesulfovibrio carbinoliphilus oakridgensis FW1012B	
Bacteria	Finished	2507149019	Desulfitobacterium dichloroeliminans LMG P-21439	
Bacteria	Finished	2510065050	Marichromatium purpuratum 984	
Bacteria	Finished	2512564091	Desulfurella acetivorans A63, DSM 5264	
Bacteria	Permanent Draft	2512875014	Desulfitobacterium sp. PCE1, DSM 10344	
Bacteria	Permanent Draft	2513237149	Desulfitobacterium hafniense PCP-1	
Bacteria	Permanent Draft	2511231048	Desulfosporosinus sp. Sv. Desulfo HCS1	
Bacteria	Permanent Draft	2264867057	Caldiserica bacterium JGI 0000059-M03 (contamination screened)	
Bacteria	Permanent Draft	2522125115	Thioalkalivibrio sp. ALE19	
Bacteria	Permanent Draft	2522572153	Thioalkalivibrio sp. AKL19	
Bacteria	Permanent Draft	2523231030	Fundidesulfovibrio putealis DSM 16056	
Bacteria	Permanent Draft	2524614548	Desulfovibrio desulfuricans desulfuricans DSM 642	
Bacteria	Permanent Draft	2524614762	Desulfogranum japonicum DSM 18378	
Bacteria	Permanent Draft	2526164528	Desulfotignum balticum DSM 7044	
Bacteria	Permanent Draft	2527291663	Candidatus Thioglobus sp. AB-750C14AB-904 (unscreened)	
Bacteria	Finished	2540341170	Pseudodesulfovibrio piezophilus C1TLV30	
Bacteria	Permanent Draft	2558860350	Candidatus Magnetoglobus multicellularis Araruama	
Bacteria	Permanent Draft	2563367222	Imhoffiella purpurea AK35	
Bacteria	Permanent Draft	2571042920	Thermodesulfomicrobium thermophilum DSM 16697	
Bacteria	Draft	2582580651	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.111	
Bacteria	Draft	2582580684	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.433	
Bacteria	Permanent Draft	2582580730	Desulfovibrio litoralis DSM 11393	
Bacteria	Permanent Draft	2582580732	Desulfitobacterium chlororespirans DSM 11544	
Bacteria	Permanent Draft	2585427832	Candidatus Magnetobacterium casensis MYR-1	
Bacteria	Permanent Draft	2593339127	Desulfonatronovibrio magnus AHT22	
Bacteria	Permanent Draft	2596583676	Moorella thermoacetica DSM 12993	
Bacteria	Permanent Draft	2599185175	Desulfallas thermosapovorans DSM 6562	
Bacteria	Draft	2615840505	Bacterial ectosymbiont of Kentrophoros (Beck) morphospecies SD S127	
Bacteria	Permanent Draft	2616645011	Isolated Sinkhole 2014 Bin 2	
Bacteria	Permanent Draft	2617270708	Alpena fountain Bin 6	
Bacteria	Permanent Draft	2619619282	Desulfobulbus sp. Tol-SR	
Bacteria	Finished	2627853541	Moorella thermoacetica DSM 521	
Bacteria	Permanent Draft	2627853564	LKpool_bin5_Desulfovibrio	
Bacteria	Finished	2627853728	Magnetospira sp. QH-2	
Bacteria	Permanent Draft	2634166223	Rhodocyclaceae-127 (UID3972)	
Bacteria	Permanent Draft	2636416127	Desulfobacula sp. TS	
Bacteria	Finished	2645727616	Ferriphaselus amnicola OYT1 GCA_000974685.1	
Bacteria	Permanent Draft	2648501254	Peptococcaceae bacterium CEB3	
