#taxpath	ASW-S_2.bins	ASW-S_4.bins	ASW-S_5.bins	ASW_1.bins	ASW_2.bins	ASW_3.bins	ASW_4.bins	ASW_5.bins	Control1.bins	Control2.bins	Control3.bins	Control4.bins	Control5.bins	Field1.bins	Field2.bins	Field3.bins	Field4.bins	Field5.bins	SO4_1.bins	SO4_2.bins	SO4_3.bins	SO4_4.bins	SO4_5.bins
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_99171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_98456	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_97630	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Palpitomonas;otu__silva_138_complink_cons_otu_16913	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba;otu__silva_138_complink_cons_otu_97678	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Mycamoeba;otu__silva_138_complink_cons_otu_212482	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Ischnamoeba;otu__silva_138_complink_cons_otu_200628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Ischnamoeba;otu__silva_138_complink_cons_otu_115573	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Goniomonas;otu__silva_138_complink_cons_otu_28933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Bolidomonas;otu__silva_138_complink_cons_otu_55202	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__unknown;genus__Arboramoeba;otu__silva_138_complink_cons_otu_99112	0	4	0	1	6	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__unknown;family__Glaucophyta;genus__Glaucocystis;otu__silva_138_complink_cons_otu_184126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown;genus__uncultured;otu__silva_138_complink_cons_otu_102260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Jakobida;family__unknown;genus__Andalucia;otu__silva_138_complink_cons_otu_168491	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__unknown;order__Amb-18S-504;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_50126	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Ulvophyceae;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_194491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_98912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_205605	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_155245	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_155224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__BOLA868;otu__silva_138_complink_cons_otu_96640	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__BOLA868;otu__silva_138_complink_cons_otu_50087	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__unknown;genus__BOLA868;otu__silva_138_complink_cons_otu_15662	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__unknown;family__Phryganellina;genus__Cryptodifflugia;otu__silva_138_complink_cons_otu_137820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_97937	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Tubulinea;order__Echinamoebida;family__unknown;genus__Vermamoeba;otu__silva_138_complink_cons_otu_38036	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Trebouxiophyceae;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_23250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pedinophyceae;order__Pedinomonadales;family__unknown;genus__Pedinomonas;otu__silva_138_complink_cons_otu_115911	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Pedinophyceae;order__Pedinomonadales;family__unknown;genus__Pedinomonas;otu__silva_138_complink_cons_otu_115909	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Nephroselmidophyceae;order__Nephroselmidales;family__unknown;genus__Nephroselmis;otu__silva_138_complink_cons_otu_226591	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Mamiellophyceae;order__Mamiellales;family__unknown;genus__Bathycoccus;otu__silva_138_complink_cons_otu_109552	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__unknown;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_98833	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0
root__Root;domain__Eukaryota;phylum__unknown;class__Discosea;order__Stygamoebida;family__unknown;genus__unknown;otu__silva_138_complink_cons_otu_137822	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
