,sampleID,sampleID_clean,Treatment,Depth,TrtDepth,rich,shannon,MG_MT,AO_NOB,Salinity,CH4_ug_m2_h,N2O_ug_m2_h,CO2_ug_m2_h,Cl_mgL,SO4_mgL,NH4_mgL,NO3_mgL,pH,PO4_mgL,TOC_mgL,TN_mgL,Br_mgL,DIN_mgL,DON_mgL,sed_per_C,sed_per_N,sed_CN,SO4,ASW
TL_d1_field_Core_10,TL_d1_field_Core_10,Field_10_D1,Field,0-5 cm,Field0-5 cm,6144,6.871084097,1.039344262,2.729146222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d1_field_Core_19,TL_d1_field_Core_19,Field_19_D1,Field,0-5 cm,Field0-5 cm,6510,7.019030304,1.537216828,3.185512367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d1_field_Core_36,TL_d1_field_Core_36,Field_36_D1,Field,0-5 cm,Field0-5 cm,5869,6.953729863,0.596899225,2.865072588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d1_field_Core_43,TL_d1_field_Core_43,Field_43_D1,Field,0-5 cm,Field0-5 cm,6271,6.965671137,1.879084967,2.484444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d1_field_Core_46,TL_d1_field_Core_46,Field_46_D1,Field,0-5 cm,Field0-5 cm,6439,7.031722573,0.921800948,2.124151967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d2_field_Core_10,TL_d2_field_Core_10,Field_10_D2,Field,10-15 cm,Field10-15 cm,5420,6.704384297,0.25,3.561946903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d2_field_Core_19,TL_d2_field_Core_19,Field_19_D2,Field,10-15 cm,Field10-15 cm,5279,6.473286806,0.308270677,3.225862069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d2_field_Core_36,TL_d2_field_Core_36,Field_36_D2,Field,10-15 cm,Field10-15 cm,6132,6.89085759,0.268,3.221059972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d2_field_Core_43,TL_d2_field_Core_43,Field_43_D2,Field,10-15 cm,Field10-15 cm,5417,6.703708211,0.204545455,3.507870754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_d2_field_Core_46,TL_d2_field_Core_46,Field_46_D2,Field,10-15 cm,Field10-15 cm,4881,6.54472105,0.224719101,3.543926662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
TL_inc_d1_ASW_3,TL_inc_d1_ASW_3,#NAME?,#NAME?,0-5 cm,+ASW0-5 cm,3323,5.676245565,62.47,2.793650794,2.96995337,13983.15164,21.99108495,21283.80392,2969.95337,29.6188181,19.7906,5.00E-04,5.32,0.007008,38.14,17.32,3.48502454,19.7911,-2.4711,14.06304932,0.577058911,24.37021427,TRUE,TRUE
TL_inc_d1_ASW_4,TL_inc_d1_ASW_4,#NAME?,#NAME?,0-5 cm,+ASW0-5 cm,2722,5.181642254,1.578313253,1.513513514,3.60151364,56407.29959,23.88783275,75118.94333,3601.51364,180.910734,20.179121,5.00E-04,4.85,0.00480873,27.67,15.84,2.32535314,20.179621,-4.339621,13.84671783,0.546979725,25.31486487,TRUE,TRUE
TL_inc_d1_ASW_5,TL_inc_d1_ASW_5,#NAME?,#NAME?,0-5 cm,+ASW0-5 cm,1752,3.716051774,4.173913043,11.76923077,1.80017623,1.789951,86.10041354,63893.32825,1800.17623,261.932677,2.50545188,135.051755,3.85,0.0025,43.63464,157.82,0.005,137.557207,20.2627927,17.59510612,0.696638167,25.25716643,TRUE,TRUE
TL_inc_d1_ASW_noS_1,TL_inc_d1_ASW_noS_1,#NAME?,#NAME?,0-5 cm,+ASW-SO40-5 cm,2696,4.99930618,0.941176471,14.01098901,4.23139537,69435.11716,21.35875156,65250.09368,4231.39537,0.78805062,26.85792,3.12792246,4.26,0.00819303,43.8081,21.86,3.02192308,29.9858425,-8.1258425,12.48255157,0.527752221,23.65229569,FALSE,TRUE
TL_inc_d1_ASW_noS_2,TL_inc_d1_ASW_noS_2,#NAME?,#NAME?,0-5 cm,+ASW-SO40-5 cm,2412,4.745606336,3.846153846,9.105263158,4.984825,82652.6946,21.10262501,47949.26565,4984.825,0.005,39.89472,5.00E-04,4.4,0.01063952,53.8335,34.86,4.34966115,39.89522,-5.03522,13.74809551,0.56956172,24.13802584,FALSE,TRUE
TL_inc_d1_ASW_noS_3,TL_inc_d1_ASW_noS_3,#NAME?,#NAME?,0-5 cm,+ASW-SO40-5 cm,2603,5.200082016,2.861111111,27.68316832,3.16807581,69773.41361,16.40006587,98463.38421,3168.07581,1.22448173,34.28352,5.00E-04,4.03,0.00314825,15.5547,10.56,0.36619015,34.28402,-23.72402,13.21504498,0.470294595,28.09950427,FALSE,TRUE
