MG_name	Treatment	sampleID	Salinity	CH4_ug_m2_h	N2O_ug_m2_h	CO2_ug_m2_h	Cl_mgL	SO4_mgL	NH4_mgL	NO3_mgL	pH	PO4_mgL	TOC_mgL	TN_mgL	Br_mgL	DIN_mgL	DON_mgL
ASW_1	ASW	TL_inc_d2_ASW_1	5.5201627	45285.15172	23.19548691	74787.53747	3055.55336	135.562653	56.72608	5.00E-04	4.03	0.00603071	28.2	30.93	2.70164923	56.72658	-25.79658
ASW_2	ASW	NA	5.168328416	14569.29282	14.25819887	130208.0188	2860.80395	316.999216	3.84993029	0.0005	4.26	0.00697521	13.8	3.447	1.33892968	3.85043029	-0.4034303
ASW_3	ASW	TL_inc_d2_ASW_3	4.903062917	13983.15164	21.99108495	21283.80392	2713.97261	10.115738	7.977929	5.00E-04	4.2	0.00490213	24.38	6.885	2.97101751	7.978429	-1.093429
ASW_4	ASW	TL_inc_d2_ASW_4	4.380040095	56407.29959	23.88783275	75118.94333	2424.4659	55.86895	26.47428	5.00E-04	4.04	0.00644906	31.36098	21.3	2.49460949	26.47478	-5.17478
ASW_5	ASW	TL_inc_d2_ASW_5	2.889311874	1.789951	86.10041354	63893.32825	1599.30913	168.252726	8.97692188	82.2118324	4.55	0.01648335	33.24468	97.76	0.005	91.1887542	6.57124576
ASW_S_2	ASW-SO4	TL_inc_d2_ASW_noS_2	5.699731875	82652.6946	21.10262501	47949.26565	3154.94956	0.005	16.225025	5.00E-04	3.99	0.0079477	39.36828	12.46	4.20263577	16.225525	-3.765525
ASW_S_4	ASW-SO4	TL_inc_d2_ASW_noS_4	5.738744047	28618.57167	24.43165387	28310.48738	3176.54381	0.005	34.07808	5.00E-04	4.15	0.00545395	66.9837	32.22	1.72176035	34.07858	-1.85858
ASW_S_5	ASW-SO4	TL_inc_d2_ASW_noS_5	5.890473064	139556.9149	38.86030587	134008.7612	3260.52976	0.005	21.07332	5.00E-04	4.435	0.00759116	36.52992	17.64	1.255542	21.07382	-3.43382
Control_1	Control	TL_inc_d2_DI_ctrl_1	0.002127733	0.163249	522.7278938	58655.45702	1.17775552	1.25046917	0.1413217	0.20842691	3.71	0.0026518	43.95	1.947	0.005	0.34974861	1.59725139
Control_2	Control	NA	0.382095168	27663.04801	16.66589724	65521.81769	211.499595	2.19014049	5.48552908	0.0005	3.97	0.0025	19.88	5.075	0.61292546	5.48602908	-0.4110291
Control_3	Control	TL_inc_d2_DI_ctrl_3	0.007246852	770.897167	563.7642806	297282.877	4.01132081	0.22321913	2.2913804	5.00E-04	3.71	0.00252157	79.19	4.228	0.14647805	2.2918804	1.9361196
Control_4	Control	TL_inc_d2_DI_ctrl_4	0.004292274	-1163.750626	1214.36367	574594.2542	2.37588532	6.3002217	1.68479271	1.58637061	3.68	0.00365863	24.01	4.075	0.03812011	3.27116332	0.80383668
Control_5	Control	TL_inc_d2_DI_ctrl_5	0.005817204	3.497878	1313.523272	412676.774	3.21997322	18.6545793	0.0265396	36.4016317	3.7	0.0025	18.4	47.28	0.03705312	36.4281713	10.8518287
SO4_1	SO4	TL_inc_d2_SO4_2	0.00687693	32.215183	320.3661339	147030.9982	3.80655954	94.4127201	2.48247856	0.01001436	3.77	0.00454714	55.7214	3.688	0.005	2.49249292	1.19550708
SO4_2	SO4	TL_inc_d2_SO4_3	0.00962408	11.361234	113.8392453	85586.78449	5.32717807	199.347167	4.41885138	0.11820007	3.7	0.0025	NA	NA	0.0166931	4.53705144	NA
SO4_3	SO4	TL_inc_d2_SO4_4	0.002589005	-1296.162966	59.03330849	76761.01026	1.43308175	144.771172	3.11669644	5.00E-04	3.71	0.0025	NA	NA	0.005	3.11719644	NA
SO4_4	SO4	TL_inc_d2_SO4_5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SO4_5	SO4	TL_inc_d2_SO4_5B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Field_1	Field	TL_d2_field_Core_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Field_2	Field	TL_d2_field_Core_19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Field_3	Field	TL_d2_field_Core_36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Field_4	Field	TL_d2_field_Core_43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Field_5	Field	TL_d2_field_Core_46	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
