#Exported for mctoolsr
"#OTU_ID"	"ASW_S_2"	"ASW_S_4"	"ASW_S_5"	"ASW_1"	"ASW_2"	"ASW_3"	"ASW_4"	"ASW_5"	"Control_1"	"Control_2"	"Control_3"	"Control_4"	"Control_5"	"Field_1"	"Field_2"	"Field_3"	"Field_4"	"Field_5"	"SO4_1"	"SO4_2"	"SO4_3"	"SO4_4"	"SO4_5"	"taxonomy"
"otu_99171"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;NA;NA;otu_99171"
"otu_98456"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;NA;NA;otu_98456"
"otu_97630"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;NA;NA;otu_97630"
"otu_16913"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Palpitomonas;NA;otu_16913"
"otu_97678"	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Mycamoeba;NA;otu_97678"
"otu_212482"	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Mycamoeba;NA;otu_212482"
"otu_200628"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Ischnamoeba;NA;otu_200628"
"otu_115573"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Ischnamoeba;NA;otu_115573"
"otu_28933"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Goniomonas;NA;otu_28933"
"otu_55202"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;NA;Bolidomonas;NA;otu_55202"
"otu_99112"	0	4	0	1	6	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	"Eukaryota;NA;NA;NA;NA;Arboramoeba;NA;otu_99112"
"otu_184126"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;NA;Glaucophyta;Glaucocystis;NA;otu_184126"
"otu_102260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	"Eukaryota;NA;NA;Jakobida;NA;uncultured;NA;otu_102260"
"otu_168491"	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;Jakobida;NA;Andalucia;NA;otu_168491"
"otu_50126"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;NA;Amb-18S-504;NA;NA;NA;otu_50126"
"otu_194491"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"Eukaryota;NA;Ulvophyceae;NA;NA;NA;NA;otu_194491"
"otu_98912"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;NA;NA;otu_98912"
"otu_205605"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;NA;NA;otu_205605"
"otu_155245"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;NA;NA;otu_155245"
"otu_155224"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;NA;NA;otu_155224"
"otu_96640"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;BOLA868;NA;otu_96640"
"otu_50087"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;BOLA868;NA;otu_50087"
"otu_15662"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;NA;BOLA868;NA;otu_15662"
"otu_137820"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"Eukaryota;NA;Tubulinea;NA;Phryganellina;Cryptodifflugia;NA;otu_137820"
"otu_97937"	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;Echinamoebida;NA;NA;NA;otu_97937"
"otu_38036"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Tubulinea;Echinamoebida;NA;Vermamoeba;NA;otu_38036"
"otu_23250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	"Eukaryota;NA;Trebouxiophyceae;NA;NA;NA;NA;otu_23250"
"otu_115911"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Eukaryota;NA;Pedinophyceae;Pedinomonadales;NA;Pedinomonas;NA;otu_115911"
