#Exported for mctoolsr
"#OTU_ID"	"ASW_S_2"	"ASW_S_4"	"ASW_S_5"	"ASW_1"	"ASW_2"	"ASW_3"	"ASW_4"	"ASW_5"	"Control_1"	"Control_2"	"Control_3"	"Control_4"	"Control_5"	"Field_1"	"Field_2"	"Field_3"	"Field_4"	"Field_5"	"SO4_1"	"SO4_2"	"SO4_3"	"SO4_4"	"SO4_5"	"taxonomy"
"otu_219074"	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	3	0	0	0	0	0	"Bacteria;Zixibacteria;NA;NA;NA;NA;NA;otu_219074"
"otu_129266"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	"Bacteria;Zixibacteria;NA;NA;NA;NA;NA;otu_129266"
"otu_96158"	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_96158"
"otu_55094"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_55094"
"otu_4990"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_4990"
"otu_25404"	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_25404"
"otu_229360"	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_229360"
"otu_219063"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_219063"
"otu_153517"	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_153517"
"otu_148660"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_148660"
"otu_135676"	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_135676"
"otu_116528"	0	1	0	1	2	2	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_116528"
"otu_114116"	2	9	0	0	8	3	5	1	1	0	0	0	1	0	2	0	0	0	0	1	0	1	2	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_114116"
"otu_114099"	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_114099"
"otu_110321"	0	0	0	4	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	"Bacteria;WS4;NA;NA;NA;NA;NA;otu_110321"
"otu_54821"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	"Bacteria;WS2;NA;NA;NA;NA;NA;otu_54821"
"otu_35162"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"Bacteria;WS1;NA;NA;NA;NA;NA;otu_35162"
"otu_98199"	1	3	3	0	0	1	6	5	2	3	5	1	2	2	1	1	2	0	2	5	4	6	2	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_98199"
"otu_97173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_97173"
"otu_82304"	1	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_82304"
"otu_5200"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_5200"
"otu_30245"	2	2	10	2	2	0	19	1	1	0	0	1	0	2	2	4	2	4	0	1	1	1	11	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_30245"
"otu_223486"	0	0	0	0	2	0	3	0	1	0	0	0	0	0	2	0	2	0	3	1	0	0	0	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_223486"
"otu_217685"	0	3	1	1	1	2	3	2	2	0	1	5	4	1	0	0	0	0	1	1	2	1	1	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_217685"
"otu_217667"	3	8	19	3	16	16	20	0	3	29	5	16	19	11	12	6	10	6	10	14	2	6	19	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_217667"
"otu_217615"	1	0	11	1	4	2	1	2	3	1	0	3	1	2	4	0	0	0	0	3	0	4	5	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_217615"
"otu_217568"	1	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_217568"
"otu_140373"	1	0	1	1	0	0	0	3	0	0	0	0	0	2	1	2	2	7	0	4	0	2	3	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_140373"
"otu_140328"	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_140328"
"otu_140300"	0	1	2	1	0	1	6	1	1	0	0	4	6	18	14	13	22	28	1	1	0	0	7	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_140300"
"otu_140247"	3	1	0	0	2	3	3	1	0	2	2	0	1	5	2	3	4	6	0	3	0	0	1	"Bacteria;WPS-2;NA;NA;NA;NA;NA;otu_140247"
