taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	IMG Release/Pipeline Version	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	Has Coverage	Is Public	Release Date	Contact Email	Contact Name	Sequencing Strategy	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Latitude	Longitude	Genome Size   * assembled	Gene Count   * assembled	Scaffold Count   * assembled	Genome Bin Count   * assembled	GC   * assembled	CDS Count   * assembled	RNA Count   * assembled	rRNA Count   * assembled	5S rRNA Count   * assembled	16S rRNA Count   * assembled	18S rRNA Count   * assembled	23S rRNA Count   * assembled	28S rRNA Count   * assembled	tRNA Count   * assembled	w/ Func Pred %   * assembled	COG %   * assembled	KOG % 	Pfam %   * assembled	TIGRfam %   * assembled	Enzyme %   * assembled	KEGG %   * assembled	KO %   * assembled	MetaCyc %   * assembled	JGI Data Utilization Status	
3300018007	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_5	DOE Joint Genome Institute (JGI)	3300018007	IMG Annotation Pipeline v.4.15.1	Ga0187805	Metagenome Analysis	Gp0213297	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	940031289	1975942	1427230	0	61.61	1965842	10100	1664	186	518	10	942	8	8436	100	51.42	0	50	0	22.24	22.43	36.54	14.54	Unrestricted	
3300017936	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_1	DOE Joint Genome Institute (JGI)	3300017936	IMG Annotation Pipeline v.4.15.1	Ga0187821	Metagenome Analysis	Gp0213313	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	771647837	1738104	1293206	3	61.62	1727400	10704	2245	229	711	11	1274	20	8459	100	55.24	0	52.38	0	24.73	25.46	40.79	16.04	Unrestricted	
3300017822	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_2	DOE Joint Genome Institute (JGI)	3300017822	IMG Annotation Pipeline v.4.15.1	Ga0187802	Metagenome Analysis	Gp0213294	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	Yes	Yes	2018-05-18	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	664755859	1415161	1040150	0	60.41	1408244	6917	1216	144	404	3	660	5	5701	100	50.34	0	48.94	0	21.23	21.36	35.24	13.75	Unrestricted	
3300017928	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_1	DOE Joint Genome Institute (JGI)	3300017928	IMG Annotation Pipeline v.4.15.1	Ga0187806	Metagenome Analysis	Gp0213298	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	569341036	1273041	953813	2	63.07	1266758	6283	1275	135	379	20	698	43	5008	100	50.14	0	48.23	0	21.64	21.55	35.33	14.1	Unrestricted	
3300017994	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_2	DOE Joint Genome Institute (JGI)	3300017994	IMG Annotation Pipeline v.4.15.1	Ga0187822	Metagenome Analysis	Gp0213314	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	620177581	1471262	1131671	0	62.38	1462574	8688	1945	179	600	10	1136	20	6743	100	55.02	0	51.51	0	24.51	25.43	40.66	15.98	Unrestricted	
3300017955	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_2	DOE Joint Genome Institute (JGI)	3300017955	IMG Annotation Pipeline v.4.15.1	Ga0187817	Metagenome Analysis	Gp0213309	Gs0114296	2017-06-02	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-02	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	1698066236	3520190	2528818	1	60.88	3503305	16885	2455	329	784	4	1332	6	14430	100	49.49	0	48.85	0	21.42	21.39	35.14	13.88	Unrestricted	
3300017823	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_3	DOE Joint Genome Institute (JGI)	3300017823	IMG Annotation Pipeline v.4.15.1	Ga0187818	Metagenome Analysis	Gp0213310	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	Yes	Yes	2018-05-18	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	873711254	1819691	1320255	1	60.38	1810188	9503	1539	199	475	1	860	4	7964	100	51.34	0	49.89	0	22.37	22.4	36.55	14.52	Unrestricted	
3300018012	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_5	DOE Joint Genome Institute (JGI)	3300018012	IMG Annotation Pipeline v.4.15.1	Ga0187810	Metagenome Analysis	Gp0213302	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-06	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	808469327	1751514	1286303	5	58.85	1741612	9902	1570	206	492	12	843	17	8332	100	49.81	0	48.33	0	22.07	22.14	36.18	14.26	Unrestricted	
3300017926	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_2	DOE Joint Genome Institute (JGI)	3300017926	IMG Annotation Pipeline v.4.15.1	Ga0187807	Metagenome Analysis	Gp0213299	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	530969770	1161540	855616	1	65.43	1156096	5444	1087	128	323	28	572	36	4357	100	49.82	0	48.1	0	21.26	20.98	34.47	13.96	Unrestricted	
3300017930	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_5	DOE Joint Genome Institute (JGI)	3300017930	IMG Annotation Pipeline v.4.15.1	Ga0187825	Metagenome Analysis	Gp0213317	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	Yes	Yes	2018-06-01	sgtringe@lbl.gov	Susannah Tringe	Metagenome	Environmental	Aquatic	Wetlands	Freshwater	Sediment	35.9061	-76.1569	678155232	1524471	1132575	0	61.38	1514673	9798	1989	201	645	11	1115	17	7809	100	55.02	0	52.11	0	24.58	25.35	40.59	16.02	Unrestricted	
