User Genome,Classification,FastANI Reference,FastANI Reference Radius,FastANI Taxonomy,FastANI ANI,FastANI Alignment Fraction,Closest Placement Reference,Closest Placement Taxonomy,Closest Placement ANI,Closest Placement Alignment Fraction,Classification Method,Note,Other Related References,MSA AA Percent,RED Value,Warnings
ASW_5_metabat_bin.007.fasta,d__Archaea;p__Halobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanoregula;s__,-,-,-,-,-,-,-,-,-,ANI,-,"GCA_002839605.1, s__Methanoregula sp00...",93.44,0.918724023,-
Field_2_concoct_bin.002.fasta,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__JABCYV01;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,83.9,0.932386758,-
ASW_4_concoct_bin.030.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Acidothermales;f__Acidothermaceae;g__;s__,-,-,-,-,-,GCA_003134755.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Acidothermales;f__Acidothermaceae;g__PALSA-607;s__PALSA-607 sp003134755,78.08,0.28,taxonomic classification defined by topology and ANI,-,-,89.87,0.84406307,-
ASW_4_metabat_bin.014.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__,-,-,-,-,-,GCA_001898175.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulomonas;s__Cellulomonas sp001898175,87.04,0.8,taxonomic classification defined by topology and ANI,-,"GCA_001898185.1, s__Cellulomonas sp001...",97.28,0.982904137,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
ASW_4_maxbin_Bin.002.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,-,-,94.42,0.882098596,-
ASW_4_metabat_bin.013.fasta,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Jatrophihabitantaceae;g__Iso899;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,96.29,0.913857298,-
ASW-SO4_2_metabat_bin.010.fasta,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__FEN-1297;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,97.74,0.86274875,-
ASW_4_metabat_bin.020.fasta,d__Bacteria;p__Firmicutes;c__Alicyclobacillia;o__Alicyclobacillales;f__Alicyclobacillaceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,96.76,0.802369958,-
Field_4_metabat_bin.012.fasta,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic novelty determined using RED,-,-,83.72,0.855685974,-
ASW_4_metabat_bin.019.fasta,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__;s__,-,-,-,-,-,-,-,-,-,taxonomic classification fully defined by topology,-,-,81.68,0.86901919,-
