Hydrology 2,Water Chemistry,Treatment,Rep,Depth,Date,ClppmmgL,SO4mgL,NH4mgL,NO3NmgL,PO4mgL,NPOCmg/L,TNmgL,BrmgL,DIN (mg/L),DON (mg/L)
Drought,DI,AD,1,15cm,8/24/10,4.14764821,13.6663511,0.604,0.06072005,0.00614256,67.7,2.329,0.13629901,0.66472005,1.66427995
Drought,DI,AD,2,15cm,8/24/10,9.39851051,19.3355855,0.555,0.05436174,0.0052944,79.77,2.479,0.11175743,0.60936174,1.86963826
Drought,DI,AD,3,15cm,8/24/10,7.35568553,25.6148703,0.0025,35.1150813,0.04505184,42.427,38.069369,0.005,35.1175813,2.95178771
Drought,DI,AD,4,15cm,8/24/10,2.71013898,4.02788545,0.319,0.08442172,0.0227784,72.44,2.486978,0.09090884,0.40342172,2.08355628
Drought,DI,AD,5,15cm,8/24/10,7.18487722,8.09394345,0.191,0.02594925,0.00511584,64.75,2.146022,0.09442058,0.21694925,1.92907275
Drought,DI,AD,1,15cm,8/31/10,3.90237471,5.80131197,0.74733737,0.05173373,0.00513652,68.92,2.41352,0.20145904,0.7990711,1.6144489
Drought,DI,AD,2,15cm,8/31/10,7.18408808,10.5622567,0.90615738,0.02514332,0.0025,93.37,3.188294,0.17406033,0.9313007,2.2569933
Drought,DI,AD,4,15cm,8/31/10,1.70874255,1.24235348,0.44681929,0.02133019,0.0025,54.45,1.258289,0.10496448,0.46814948,0.79013952
Drought,DI,AD,5,15cm,8/31/10,6.21969519,2.48665644,0.35821711,0.01446528,0.0025,63.98,2.13632,0.14569458,0.37268239,1.76363761
Drought,DI,AD,1,15cm,9/7/10,8.80086878,13.450518,,0.28621417,,68.85,5.175,0.17824464,,
Drought,DI,AD,2,15cm,9/7/10,10.1748769,7.61509953,0.91705,0.01843215,0.0025,83.04,3.703,0.22597928,0.93548215,2.76751785
Drought,DI,AD,4,15cm,9/7/10,4.27233399,5.45687173,0.957498,0.02350515,0.0025,88.9,4.12,0.06326982,0.98100315,3.13899685
Drought,DI,AD,5,15cm,9/7/10,6.06738368,1.75000356,0.45303898,0.00952578,0.0025,56.36,2.757,0.12498566,0.46256476,2.29443524
Drought,DI,AD,2,15cm,9/14/10,8.76751504,7.42349517,0.819468,0.20784,0.0025,81.65,3.047,0.17100668,1.027308,2.019692
Drought,DI,AD,4,15cm,9/14/10,0.6105459,1.45807444,0.08918262,0.1421868,0.0025,34.17,0.8551,0.1009,0.23136942,0.62373058
Drought,DI,AD,5,15cm,9/14/10,4.03658939,2.53935638,0.46233072,0.02250473,0.0025,55.19,2.15,0.0988,0.48483545,1.66516455
Drought,DI,AD,2,15cm,9/21/10,4.58311494,3.89839598,0.76127741,0.05230462,0.0025,71.7206,2.39566,0.15826737,0.81358203,1.58207797
Drought,DI,AD,4,15cm,9/21/10,0.86202418,1.16655397,1.07819943,0.02575238,0.0025,38.07335,1.162632,0.11668361,1.10395181,0.05868019
Drought,DI,AD,5,15cm,9/21/10,2.31392356,3.75751854,,5.69341645,,36.5855,5.699096,0.11321667,,
Drought,DI,AD,2,15cm,10/5/10,3.80618656,1.17092745,1.1046871,0.05044809,0.00698905,93.09,3.425,0.12676037,1.15513519,2.26986481
Drought,DI,AD,4,15cm,10/5/10,1.52959584,1.35198001,0.46014911,0.01728179,0.00488572,51.03,1.9,0.005,0.47743089,1.42256911
Drought,DI,AD,1,15cm,10/19/10,0.82766197,2.68174514,,1.08110898,,56.28,4.882072,0.05861952,,
Drought,DI,AD,2,15cm,10/19/10,1.33766333,4.95167942,0.07939886,5.36291713,0.0538636,39.58,8.654216,0.005,5.44231598,3.21190002
Drought,DI,AD,4,15cm,10/19/10,0.46765357,1.83212139,0.01557603,0.55618624,0.00511538,27.18,1.51613,0.005,0.57176227,0.94436773
Drought,DI,AD,5,15cm,10/19/10,2.10334059,6.62626146,0.06160783,8.94505761,0.00616606,34.38,11.40452,0.005,9.00666544,2.39785456
Drought,DI,AD,4,15cm,11/2/10,0.93300126,0.69652607,0.37280982,0.01238375,0.01715986,35.48,1.328,0.005,0.38519357,0.94280643
Drought,DI,AD,5,15cm,11/2/10,2.01816975,8.186448,0.09594684,12.4091787,0.0072864,29.24,12.66,0.005,12.5051255,0.1548745
Drought,DI,AD,1,15cm,11/16/10,2.95036388,2.55608686,,0.21780957,,,,0.03765073,,
Drought,DI,AD,4,15cm,11/16/10,0.83092906,1.11110875,0.3584067,0.00403052,0.00386739,29.05644,1.263,0.04057268,0.36243723,0.90056277
Drought,DI,AD,5,15cm,11/16/10,3.96339408,9.2312382,0.0025,22.2045678,0.01281741,128.249795,32.7707809,0.01406162,22.2070678,10.5637131
Drought,DI,AD,2,15cm,11/30/10,2.83084797,18.1679624,,51.4137787,,23.8,70.82,0.005,,
Drought,DI,AD,4,15cm,11/30/10,1.04121911,2.0069757,0.02067155,1.67393163,0.0025,12.85,2.4,0.005,1.69460318,0.70539682
