taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	IMG Release/Pipeline Version	IMG Submission ID	GOLD Analysis Project ID	GOLD Analysis Project Type	GOLD Sequencing Project ID	GOLD Study ID	Add Date	Assembly Method	NCBI Bioproject Accession	NCBI Biosample Accession	Sequencing Method	Genome Size   * assembled	Gene Count   * assembled	KO Count   * assembled	KO %   * assembled	
3300017927	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_4	DOE Joint Genome Institute (JGI)	3300017927	IMG Annotation Pipeline v.4.15.1	132437	Ga0187824	Metagenome Analysis	Gp0213316	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465916	SAMN09200338	Illumina HiSeq 2500-1TB	594016570	1352252	557306	41.21	
3300017937	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_4	DOE Joint Genome Institute (JGI)	3300017937	IMG Annotation Pipeline v.4.15.1	132415	Ga0187809	Metagenome Analysis	Gp0213301	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465902	SAMN09202573	Illumina HiSeq 2500-1TB	727812528	1617178	638975	39.51	
3300017942	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW_3	DOE Joint Genome Institute (JGI)	3300017942	IMG Annotation Pipeline v.4.15.1	132427	Ga0187808	Metagenome Analysis	Gp0213300	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465901	SAMN09202721	Illumina HiSeq 2500-1TB	900139526	1920982	676072	35.19	
3300017930	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_5	DOE Joint Genome Institute (JGI)	3300017930	IMG Annotation Pipeline v.4.15.1	132421	Ga0187825	Metagenome Analysis	Gp0213317	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465917	SAMN09202731	Illumina HiSeq 2500-1TB	678155232	1524471	618713	40.59	
3300017932	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - ASW-S_4	DOE Joint Genome Institute (JGI)	3300017932	IMG Annotation Pipeline v.4.15.1	132450	Ga0187814	Metagenome Analysis	Gp0213306	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465905	SAMN09200279	Illumina HiSeq 2500-1TB	681556839	1442775	505148	35.01	
3300017823	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_3	DOE Joint Genome Institute (JGI)	3300017823	IMG Annotation Pipeline v.4.15.1	130581	Ga0187818	Metagenome Analysis	Gp0213310	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	PRJNA465910	SAMN09200419	Illumina HiSeq 2500-1TB	873711254	1819691	665040	36.55	
3300017993	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SourceSoil_3	DOE Joint Genome Institute (JGI)	3300017993	IMG Annotation Pipeline v.4.15.1	132968	Ga0187823	Metagenome Analysis	Gp0213315	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465915	SAMN09200276	Illumina HiSeq 2500-1TB	609403130	1444046	590793	40.91	
3300018006	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_4	DOE Joint Genome Institute (JGI)	3300018006	IMG Annotation Pipeline v.4.15.1	132961	Ga0187804	Metagenome Analysis	Gp0213296	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465897	SAMN09200281	Illumina HiSeq 2500-1TB	857870289	1850441	677248	36.6	
3300017924	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - SO4_5	DOE Joint Genome Institute (JGI)	3300017924	IMG Annotation Pipeline v.4.15.1	132409	Ga0187820	Metagenome Analysis	Gp0213312	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465912	SAMN09202574	Illumina HiSeq 2500-1TB	504985088	1164216	443917	38.13	
3300017934	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_3	DOE Joint Genome Institute (JGI)	3300017934	IMG Annotation Pipeline v.4.15.1	132425	Ga0187803	Metagenome Analysis	Gp0213295	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465896	SAMN09200423	Illumina HiSeq 2500-1TB	742617980	1553627	555456	35.75	
3300017933	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_1	DOE Joint Genome Institute (JGI)	3300017933	IMG Annotation Pipeline v.4.15.1	132465	Ga0187801	Metagenome Analysis	Gp0213293	Gs0114296	2017-06-01	MEGAHIT v. 1.0.6	PRJNA465894	SAMN09200282	Illumina HiSeq 2500-1TB	740673025	1593048	584074	36.66	
3300018007	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_5	DOE Joint Genome Institute (JGI)	3300018007	IMG Annotation Pipeline v.4.15.1	132965	Ga0187805	Metagenome Analysis	Gp0213297	Gs0114296	2017-06-06	MEGAHIT v. 1.0.6	PRJNA465898	SAMN09200422	Illumina HiSeq 2500-1TB	940031289	1975942	722083	36.54	
3300017822	*Microbiome	Permanent Draft	Coastal wetland sediment microbial communities from the Mid-Atlantic and Southeast Atlantic Coast of USA, responding to salinity intrusion.	Wetland sediment microbial communities from Neuse River Estuary, North Carolina, USA - Control_2	DOE Joint Genome Institute (JGI)	3300017822	IMG Annotation Pipeline v.4.15.1	130584	Ga0187802	Metagenome Analysis	Gp0213294	Gs0114296	2017-05-18	MEGAHIT v. 1.0.6	PRJNA465895	SAMN09202571	Illumina HiSeq 2500-1TB	664755859	1415161	498714	35.24	
